model,domain,seed,method,ratio,calibration_tokens,calibration_positions,ppl,nll,predicted_tokens,windows,sequence_length
llama2_7b,c4,6,fc_ls,0.3,262144,all_128x2048,7.778888512756783,692875.154296875,337755,165,2048
llama2_7b,c4,6,flap,0.3,262144,all_128x2048,7.882924994340547,697362.419921875,337755,165,2048
llama2_7b,c4,6,sobp,0.3,262144,all_128x2048,7.938549285696549,699737.3515625,337755,165,2048
llama2_7b,c4,6,fand,0.3,262144,all_128x2048,8.123289559013566,707507.2841796875,337755,165,2048
llama2_7b,c4,6,slimllm,0.3,262144,all_128x2048,7.601937182853737,685103.2915039062,337755,165,2048
llama2_7b,c4,6,wanda,0.3,262144,all_128x2048,8.061169860072509,704914.5078125,337755,165,2048
llama2_7b,c4,6,fc_ls,0.4,262144,all_128x2048,9.558251911382584,762449.7770996094,337755,165,2048
llama2_7b,c4,6,flap,0.4,262144,all_128x2048,9.821577581306595,771628.912109375,337755,165,2048
llama2_7b,c4,6,sobp,0.4,262144,all_128x2048,9.60938959071389,764251.9860839844,337755,165,2048
llama2_7b,c4,6,fand,0.4,262144,all_128x2048,10.288070150171693,787301.833984375,337755,165,2048
llama2_7b,c4,6,slimllm,0.4,262144,all_128x2048,9.738835465485414,768771.43359375,337755,165,2048
llama2_7b,c4,6,wanda,0.4,262144,all_128x2048,10.271388496663969,786753.7346191406,337755,165,2048
llama2_7b,c4,6,fc_ls,0.5,262144,all_128x2048,12.615130793225765,856174.1193847656,337755,165,2048
llama2_7b,c4,6,flap,0.5,262144,all_128x2048,13.38375699523613,876150.5905761719,337755,165,2048
llama2_7b,c4,6,sobp,0.5,262144,all_128x2048,12.289076577796944,847329.6110839844,337755,165,2048
llama2_7b,c4,6,fand,0.5,262144,all_128x2048,14.630188308908986,906226.0788574219,337755,165,2048
llama2_7b,c4,6,slimllm,0.5,262144,all_128x2048,14.286111891185222,898187.7741699219,337755,165,2048
llama2_7b,c4,6,wanda,0.5,262144,all_128x2048,14.16148173010497,895228.3161621094,337755,165,2048
llama2_7b,c4,7,fc_ls,0.2,262144,all_128x2048,6.7199200503723455,643449.03125,337755,165,2048
llama2_7b,c4,7,flap,0.2,262144,all_128x2048,6.7609239828458305,645503.6987304688,337755,165,2048
llama2_7b,c4,7,sobp,0.2,262144,all_128x2048,6.830470789444522,648960.2956542969,337755,165,2048
llama2_7b,c4,7,fand,0.2,262144,all_128x2048,6.654256718776654,640132.4462890625,337755,165,2048
llama2_7b,c4,7,slimllm,0.2,262144,all_128x2048,6.48985483619443,631682.9663085938,337755,165,2048
llama2_7b,c4,7,wanda,0.2,262144,all_128x2048,6.728707449179869,643890.4128417969,337755,165,2048
llama2_7b,c4,7,fc_ls,0.3,262144,all_128x2048,7.7602040993805605,692062.9116210938,337755,165,2048
llama2_7b,c4,7,flap,0.3,262144,all_128x2048,7.903529151811053,698244.0822753906,337755,165,2048
llama2_7b,c4,7,sobp,0.3,262144,all_128x2048,7.977762451778593,701401.615234375,337755,165,2048
llama2_7b,c4,7,fand,0.3,262144,all_128x2048,8.01668143615574,703045.3244628906,337755,165,2048
llama2_7b,c4,7,slimllm,0.3,262144,all_128x2048,7.55187358375555,682871.6030273438,337755,165,2048
llama2_7b,c4,7,wanda,0.3,262144,all_128x2048,8.005333979432676,702566.9001464844,337755,165,2048
llama2_7b,c4,7,fc_ls,0.4,262144,all_128x2048,9.588358867116291,763511.9790039062,337755,165,2048
llama2_7b,c4,7,flap,0.4,262144,all_128x2048,10.008836648000099,778007.9584960938,337755,165,2048
llama2_7b,c4,7,sobp,0.4,262144,all_128x2048,9.701205284803635,767463.8439941406,337755,165,2048
llama2_7b,c4,7,fand,0.4,262144,all_128x2048,10.311686255200483,788076.2568359375,337755,165,2048
llama2_7b,c4,7,slimllm,0.4,262144,all_128x2048,9.73492588243622,768635.8171386719,337755,165,2048
llama2_7b,c4,7,wanda,0.4,262144,all_128x2048,10.458476805549468,792850.4194335938,337755,165,2048
llama2_7b,c4,7,fc_ls,0.5,262144,all_128x2048,12.467712673052883,852203.9331054688,337755,165,2048
llama2_7b,c4,7,flap,0.5,262144,all_128x2048,13.167591049036245,870650.8515625,337755,165,2048
